Name,DC,LAC,BC,CC,NC,Essentiality
YJL078C,0.0006086427267194157,4.964140955910907e-05,0.24642671616471226,0.0,0.3333333333333333,0
YJL079C,0.0002028809089064719,0.0,0.23588555769133918,0.0,1.0,0
YJL082W,0.0002028809089064719,0.0,0.18408118993008332,0.0,1.0,0
YLR014C,0.0010144045445323595,0.0004418035113847959,0.2261773764488921,0.0,0.20000000000000004,0
YMR280C,0.0004057618178129438,1.6076040574982305e-05,0.227361718782406,0.0,0.5,0
YJL094C,0.0002028809089064719,0.0,0.0002028809089064719,0.0,1.0,0
YLR193C,0.0002028809089064719,0.0,0.0002028809089064719,0.0,1.0,0
YPL084W,0.0008115236356258876,0.0001375116453199188,0.2364990291353571,0.5,0.2800353782240425,0
YJL100W,0.0006086427267194157,0.0003341145024962669,0.2553167195396219,0.0,0.3333333333333333,0
YPL040C,0.0004057618178129438,1.9464670706617704e-06,0.21748177946615416,0.0,0.5,0
YJL111W,0.0002028809089064719,0.0,0.1972987438492485,0.0,1.0,1
YLL001W,0.0010144045445323595,0.00029822238548170353,0.26070285685884365,0.4,0.21730440499671272,0
YOR099W,0.0004057618178129438,7.185088871622897e-07,0.23421196009084663,0.0,0.5,0
YNL163C,0.0002028809089064719,0.0,0.22965852066851433,0.0,1.0,1
YNL276C,0.0002028809089064719,0.0,0.22965852066851433,0.0,1.0,0
YOR109W,0.0002028809089064719,0.0,0.22965852066851433,0.0,1.0,0
YOR375C,0.0002028809089064719,0.0,0.22965852066851433,0.0,1.0,0
YMR212C,0.0002028809089064719,0.0,0.1799504803326529,0.0,1.0,1
YPL247C,0.0002028809089064719,0.0,0.21865591664773804,0.0,1.0,0
YJL158C,0.0004057618178129438,2.2157048192768174e-05,0.19482632851279175,0.0,0.5,0
YJL162C,0.0002028809089064719,0.0,0.18893777548118085,0.0,1.0,0
YJL163C,0.0002028809089064719,0.0,0.19414355346422726,0.0,1.0,0
YJL165C,0.0002028809089064719,0.0,0.18175561770748735,0.0,1.0,0
YOR380W,0.0008115236356258876,8.218831643148e-05,0.2537306509475884,0.0,0.25,0
YMR204C,0.0004057618178129438,2.6557070533911136e-05,0.24319374885202555,0.0,0.5,0
YJL189W,0.0002028809089064719,0.0,0.22001340795898122,0.0,1.0,0
YJL191W,0.0002028809089064719,0.0,0.20606326541320458,0.0,1.0,0
YJL192C,0.0002028809089064719,0.0,0.26105588315184935,0.0,1.0,0
YLR198C,0.0004057618178129438,5.534123855036225e-06,0.24112536095404455,0.0,0.5,1
YJL200C,0.0002028809089064719,0.0,0.22769469999288716,0.0,1.0,0
YMR285C,0.0004057618178129438,3.615651333046343e-05,0.24231340948966526,0.0,0.5,0
