Name,DC,LAC,BC,CC,NC,Essentiality
YKL155C,0.005852101436424898,2.0967460923650946e-05,0.3360348012633335,21.575757575757574,16.367940350525707,0
YPR125W,0.00833481113672637,3.4772890068512056e-05,0.3311993421825443,16.80851063829787,19.233400301133088,1
Q0160,0.00017733640716439085,0.0,0.3061512568543352,0.0,1.0,0
YBL075C,0.007802801915233197,0.0006250536130098123,0.44120178389797354,5.045454545454546,1.138511140952457,0
YBL045C,0.006384110657918071,0.0004102487839942786,0.4255527884687948,5.222222222222222,3.4888618033459,0
YBR024W,0.001064018442986345,2.0611410614932284e-05,0.3526358576699393,1.0,0.3421705175661867,1
YBR037C,0.0008866820358219543,5.09651651125805e-05,0.3892186637217007,0.8,0.4179509323149817,0
YDL107W,0.0008866820358219543,7.218329538638192e-05,0.4048097631012204,1.6,0.5757971881608717,0
YDR231C,0.0007093456286575634,1.0807194495125736e-05,0.32815409683426444,0.0,0.25,1
YGR062C,0.001064018442986345,4.5641787326228185e-05,0.3902152100200678,1.6666666666666667,0.7361219715610097,0
YGR132C,0.0028373825146302536,9.021379095661761e-05,0.3571021467924767,3.125,1.3680031846882117,0
YIL051C,0.0033693917361234263,0.00017787871316029527,0.4243997892677053,1.7894736842105263,1.06225184342497,1
Q0255,0.00017733640716439085,0.0,0.38852142758715724,0.0,1.0,0
TD(GUC)B,0.0003546728143287817,1.04190049064237e-07,0.3024241124101684,0.0,0.5,0
YDR341C,0.007980138322397589,0.010214849047859301,0.4193500409013163,0.8,0.035026326867214255,1
YLL018C,0.006738783472246853,0.002574718816144906,0.38758677572341743,2.526315789473684,0.0925685480227537,1
TD(GUC)D,0.0003546728143287817,1.04190049064237e-07,0.3024241124101684,0.0,0.5,0
TD(GUC)G1,0.0003546728143287817,1.04190049064237e-07,0.3024241124101684,0.0,0.5,0
TD(GUC)G2,0.0003546728143287817,1.04190049064237e-07,0.3024241124101684,0.0,0.5,0
TD(GUC)I1,0.0003546728143287817,1.04190049064237e-07,0.3024241124101684,0.0,0.5,0
TD(GUC)I2,0.0003546728143287817,1.04190049064237e-07,0.3024241124101684,0.0,0.5,0
TD(GUC)J1,0.0003546728143287817,1.04190049064237e-07,0.3024241124101684,0.0,0.5,0
TD(GUC)J2,0.0003546728143287817,1.04190049064237e-07,0.3024241124101684,0.0,0.5,0
TD(GUC)J3,0.0003546728143287817,1.04190049064237e-07,0.3024241124101684,0.0,0.5,0
TD(GUC)J4,0.0003546728143287817,1.04190049064237e-07,0.3024241124101684,0.0,0.5,0
TD(GUC)K,0.0003546728143287817,1.04190049064237e-07,0.3024241124101684,0.0,0.5,0
TD(GUC)L1,0.0003546728143287817,1.04190049064237e-07,0.3024241124101684,0.0,0.5,0
TD(GUC)L2,0.0003546728143287817,1.04190049064237e-07,0.3024241124101684,0.0,0.5,0
TD(GUC)M,0.0003546728143287817,1.04190049064237e-07,0.3024241124101684,0.0,0.5,0
TD(GUC)N,0.0003546728143287817,1.04190049064237e-07,0.3024241124101684,0.0,0.5,0
TD(GUC)O,0.0003546728143287817,1.04190049064237e-07,0.3024241124101684,0.0,0.5,0
TD(GUC)Q,0.0003546728143287817,1.04190049064237e-07,0.3024241124101684,0.0,0.5,0
TI(UAU)L,0.0003546728143287817,0.0,0.3103125687871451,1.0,0.5185200983488624,0
YLR448W,0.018088313530767865,0.00037459700279974324,0.4433524648164164,50.13725490196079,34.62796157721048,0
YML073C,0.02074835963823373,0.0005239650767148465,0.44686583722957446,52.46153846153846,46.01492717287322,0
TL(CAA)A,0.001064018442986345,0.0,0.30101959109592696,5.0,1.237044221834258,0
YAL001C,0.0039014009576165986,0.00045214014416396193,0.3530332435985726,4.181818181818182,7.067677558872165,1
YBR123C,0.0031920553289590354,0.00011914804573677982,0.32911170771565307,4.111111111111111,7.274505635141674,1
YDR362C,0.0030147189217946445,0.00029418354855213937,0.3420685471640886,4.117647058823529,6.897705097492415,1
YGR047C,0.0051427558077673345,0.0002323206804606735,0.334063981042654,5.103448275862069,7.947170180274862,1
YOR110W,0.0035467281432878172,0.0013066115256728495,0.4040266532922548,4.2,7.034178190414602,1
YPL007C,0.0017733640716439086,1.0484593068723593e-07,0.30108388061295316,7.0,6.9639267701309855,1
TL(CAA)C,0.001064018442986345,0.0,0.30101959109592696,5.0,1.237044221834258,0
TL(CAA)G2,0.001064018442986345,0.0,0.30101959109592696,5.0,1.237044221834258,0
TL(UAA)J,0.001064018442986345,0.0,0.30101959109592696,5.0,1.237044221834258,0
TL(UAA)Q,0.00017733640716439085,0.0,0.22987240634299458,0.0,1.0,0
TM(CAU)C,0.00017733640716439085,0.0,0.31425546143557737,0.0,1.0,0
YGL245W,0.014009576165986878,0.00196164366390297,0.45823175686656914,5.746835443037975,2.774917672803307,1
TM(CAU)Q1,0.00017733640716439085,0.0,0.31425546143557737,0.0,1.0,0
TN(GUU)O1,0.0005320092214931725,1.095647644812054e-08,0.3184076792772445,0.6666666666666666,0.34433244158528786,0
YBL072C,0.022876396524206418,0.0006741123037172365,0.4604392912550012,42.713178294573645,36.03068535823553,0
YLR344W,0.0037240645504522077,7.359263654484294e-05,0.4175490559052203,9.428571428571429,0.352866100654412,0
TR(ACG)D,0.00017733640716439085,0.0,0.2954676447471837,0.0,1.0,0
TR(ACG)E,0.00017733640716439085,0.0,0.2954676447471837,0.0,1.0,0
TR(ACG)J,0.00017733640716439085,0.0,0.2954676447471837,0.0,1.0,0
TR(ACG)K,0.00017733640716439085,0.0,0.2954676447471837,0.0,1.0,0
TR(ACG)L,0.00017733640716439085,0.0,0.2954676447471837,0.0,1.0,0
TR(ACG)O,0.00017733640716439085,0.0,0.2954676447471837,0.0,1.0,0
TR(ACG)Q2,0.00017733640716439085,0.0,0.2954676447471837,0.0,1.0,0
TR(CCG)L,0.00017733640716439085,0.0,0.2954676447471837,0.0,1.0,0
TR(UCU)B,0.00017733640716439085,0.0,0.2954676447471837,0.0,1.0,0
TR(UCU)D,0.00017733640716439085,0.0,0.2954676447471837,0.0,1.0,0
TR(UCU)E,0.00017733640716439085,0.0,0.2954676447471837,0.0,1.0,0
TR(UCU)G1,0.00017733640716439085,0.0,0.2954676447471837,0.0,1.0,0
TR(UCU)G2,0.00017733640716439085,0.0,0.2954676447471837,0.0,1.0,0
TR(UCU)G3,0.00017733640716439085,0.0,0.2954676447471837,0.0,1.0,0
TR(UCU)J1,0.00017733640716439085,0.0,0.2954676447471837,0.0,1.0,0
TR(UCU)J2,0.00017733640716439085,0.0,0.2954676447471837,0.0,1.0,0
TR(UCU)K,0.00017733640716439085,0.0,0.2954676447471837,0.0,1.0,0
TR(UCU)M1,0.00017733640716439085,0.0,0.2954676447471837,0.0,1.0,0
TR(UCU)M2,0.00017733640716439085,0.0,0.2954676447471837,0.0,1.0,0
TR(UCU)Q1,0.00017733640716439085,0.0,0.2554820587169264,0.0,1.0,0
YKR079C,0.00212803688597269,0.0003695444101187117,0.34313009614214435,0.5,0.1343513572985316,1
TS(AGA)A,0.00017733640716439085,0.0,0.3025214592274678,0.0,1.0,0
YDR023W,0.009753502394041496,0.007252382546047759,0.43370250730656823,2.2545454545454544,0.4214890173900996,1
TS(AGA)B,0.00017733640716439085,0.0,0.3025214592274678,0.0,1.0,0
TS(AGA)D1,0.00017733640716439085,0.0,0.3025214592274678,0.0,1.0,0
TS(AGA)D2,0.00017733640716439085,0.0,0.3025214592274678,0.0,1.0,0
TS(AGA)D3,0.00017733640716439085,0.0,0.3025214592274678,0.0,1.0,0
TS(AGA)E,0.00017733640716439085,0.0,0.3025214592274678,0.0,1.0,0
TS(AGA)G,0.00017733640716439085,0.0,0.3025214592274678,0.0,1.0,0
TS(AGA)H,0.00017733640716439085,0.0,0.3025214592274678,0.0,1.0,0
TS(AGA)J,0.00017733640716439085,0.0,0.3025214592274678,0.0,1.0,0
TS(AGA)L,0.00017733640716439085,0.0,0.3025214592274678,0.0,1.0,0
TS(AGA)M,0.00017733640716439085,0.0,0.3025214592274678,0.0,1.0,0
TS(CGA)C,0.00017733640716439085,0.0,0.3025214592274678,0.0,1.0,0
TS(GCU)F,0.00017733640716439085,0.0,0.3025214592274678,0.0,1.0,0
TS(GCU)L,0.00017733640716439085,0.0,0.3025214592274678,0.0,1.0,0
TS(GCU)O,0.00017733640716439085,0.0,0.3025214592274678,0.0,1.0,0
TS(GCU)Q1,0.00017733640716439085,0.0,0.3025214592274678,0.0,1.0,0
TS(UGA)E,0.00017733640716439085,0.0,0.3025214592274678,0.0,1.0,0
TS(UGA)I,0.00017733640716439085,0.0,0.3025214592274678,0.0,1.0,0
TS(UGA)P,0.00017733640716439085,0.0,0.3025214592274678,0.0,1.0,0
TS(UGA)Q2,0.00017733640716439085,0.0,0.3025214592274678,0.0,1.0,0
TY(GUA)J2,0.001064018442986345,0.0,0.30101959109592696,5.0,1.237044221834258,0
YDL074C,0.00425607377194538,0.00045343687665413404,0.4017240151029422,2.5,0.5457051615341524,0
YDL078C,0.002482709700301472,2.8865214584395082e-05,0.34512516065854704,1.0,0.1323198264149153,0
YDL097C,0.008866820358219542,0.0005791201666675886,0.42807257268655585,16.84,7.691768375085901,1
YDL147W,0.01631494945912396,0.0014075081787284752,0.44085685247439604,15.956521739130435,25.124485279767566,1
YDR381W,0.043092746940946974,0.005180809508946301,0.4628960761779675,11.078189300411523,51.18181394878123,1
YDR449C,0.010108175208370278,0.0003047691216648484,0.3502049434852813,24.07017543859649,12.739253338737399,1
YDR510W,0.09008689483951056,0.0170356742028787,0.47251550192726666,11.318897637795276,222.09158825336857,1
YDR523C,0.009576165986877105,0.0005269633039979216,0.37762003616152146,0.9259259259259259,0.15198058134622716,0
YFR052W,0.010285511615534669,0.00026690170770378425,0.3720884196634774,13.758620689655173,9.944068990328025,1
YIR010W,0.08583082106756518,0.0124281266926036,0.48011919965942956,23.177685950413224,205.1252010949598,1
YMR039C,0.0026600461074658627,0.00016233991088162903,0.42891914505210316,2.6666666666666665,0.16743807079645007,0
YMR093W,0.010994857244192233,0.00012889304514209613,0.3625900205761317,26.032258064516128,14.856942783726943,1
YAL002W,0.0019507004788082993,2.359260714933187e-06,0.31945388624518467,5.090909090909091,1.4165257585060662,0
YDL077C,0.004610746586274162,3.122885562026395e-05,0.3285939047841035,7.230769230769231,5.560936985921978,0
YDR495C,0.002482709700301472,7.268293091987747e-05,0.3964705055192294,6.428571428571429,1.9889891369377024,0
YKL193C,0.005320092214931725,0.00016661680285163532,0.4090084862551679,2.533333333333333,0.7229489683353486,1
YKR014C,0.004610746586274162,0.00024840303539723144,0.42529602534127764,6.923076923076923,3.2343713298257817,0
YKR026C,0.007625465508068806,0.00032641301828981525,0.4178894323402994,3.5348837209302326,4.553468884099854,0
YLR148W,0.00407873736478099,0.0001776276859065227,0.4120268887914657,7.391304347826087,4.249830144721824,0
YLR396C,0.00407873736478099,7.121373447468197e-05,0.3934277541338171,9.217391304347826,4.988049908251645,0
YMR231W,0.0030147189217946445,2.5904467491298737e-06,0.32107270967374596,8.470588235294118,4.159783475121416,0
YNL093W,0.00425607377194538,0.00025322650811437203,0.4277478570886748,5.333333333333333,1.5364711199579082,0
YOR089C,0.005674765029260507,0.0003905000000781111,0.43500732855048985,4.875,3.0374038395784413,0
YPL045W,0.0031920553289590354,6.202644361577261e-05,0.3638064516129032,8.0,3.358909201295594,1
YAL003W,0.002482709700301472,9.931135335371082e-06,0.41919417187035385,6.857142857142857,0.32684484264847213,1
YBR118W,0.009576165986877105,0.00026118551824294133,0.42116662932257826,6.518518518518518,0.7383052862423576,0
YEL034W,0.012945557723000533,0.0005662672322544191,0.4426564094512913,10.0,3.9718063164265236,1
YER151C,0.07589998226635929,0.006975899471027312,0.46396248148757613,28.485981308411215,356.5283141000281,0
YFR004W,0.13601702429508777,0.03743103554931515,0.5026742734890355,16.010430247718382,1464.3694951392306,1
YGL137W,0.02074835963823373,0.0016797708917981424,0.42195450463932954,7.829059829059829,13.373136199418521,1
YGR285C,0.00851214754389076,0.0003039275154904665,0.42363458793479075,9.125,2.513947030352202,0
YHR064C,0.012768221315836142,0.00040129348348898517,0.38127112914131167,7.694444444444445,3.1839733719968994,0
YKL081W,0.009576165986877105,0.00022104719754001596,0.3972805410736931,8.148148148148149,1.7874905451779364,0
YLR249W,0.01631494945912396,0.0009798524508418064,0.45032742373422774,10.23913043478261,8.420245754715346,1
YML064C,0.01684695868061713,0.0016832199510142375,0.4363200247601362,2.8421052631578947,10.575713007008156,1
YNL255C,0.21014364248980316,0.090051287363706,0.5253889872356284,16.339240506329112,5421.013845483994,0
YPL048W,0.0039014009576165986,6.550894088390191e-05,0.42957263655062083,8.0,0.7541488029443866,0
YPR080W,0.01862032275226104,0.0012020688721745057,0.4458059925685825,7.561904761904762,9.893248256131937,0
YAL005C,0.03972335520482355,0.006046156320747734,0.4693300041614648,10.267857142857142,76.06842197123795,0
YAL036C,0.0039014009576165986,3.9992631229427173e-05,0.3787868610196816,4.818181818181818,0.38887951813482685,0
YAR002W,0.0051427558077673345,8.061055664210501e-05,0.4385255463099774,8.344827586206897,0.8039151107174329,0
